ID,Item_Name,Brand,Model,Category,Year_of_Purchase,Condition,Quantity,Weight_kg,Recycle_Method,Location,Recycling_Facility,Collection_Date,End_Use,Recycled_Price_USD,Toxic_Components,E-Waste_Collector,Carbon_Footprint,Exported_To
734,Refrigerator,Dell,Dell Model 790,Appliance,2023,Partially Working,5,80.24,Automated,Mumbai,Facility A,2024/6/4,Raw Materials,137.45,Lead,Green Electronics,6.68,USA
4836,Laptop,LG,LG Model 463,Computers,2010,Partially Working,4,2.33,Automated,Mumbai,Facility B,2024/8/19,Raw Materials,86.23,Mercury,Green Electronics,10.66,China
5138,TV,Apple,Apple Model 250,Electronics,2017,Working,4,14.98,Automated,Shanghai,Facility D,2024/1/13,Parts for Electronics,126.49,None,E-Waste Inc.,9.95,India
3924,Microwave,LG,LG Model 814,Appliance,2020,Broken,2,11.63,Manual,Berlin,Facility B,2024/4/9,Raw Materials,107.57,None,Green Electronics,18,China
2802,Headphone,Xiaomi,Xiaomi Model 475,Electronics,2020,Working,4,0.49,Manual,Mumbai,Facility D,2024/2/5,Parts for Electronics,146.23,Cadmium,Green Electronics,14.81,China
8104,TV,Apple,Apple Model 557,Electronics,2012,Partially Working,4,15.08,Automated,London,Facility C,2024/4/6,Raw Materials,124.42,Lead,E-Waste Inc.,1.01,India
6798,Headphone,HP,HP Model 587,Electronics,2012,Working,3,0.19,Both,Berlin,Facility D,2024/3/26,E-Waste Disposal,87.8,None,Green Electronics,12.26,Brazil
8206,Headphone,Sony,Sony Model 316,Electronics,2023,Working,4,0.1,Both,Shanghai,Facility B,2024/9/30,E-Waste Disposal,122.57,Cadmium,Green Electronics,15.37,Brazil
8496,Refrigerator,Sony,Sony Model 621,Appliance,2020,Broken,5,80.19,Automated,New York,Facility C,2023/12/23,E-Waste Disposal,189.08,Mercury,Green Electronics,3.46,Germany
3634,Smartphone,LG,LG Model 305,Mobile,2015,Partially Working,5,0.65,Automated,Dhaka,Facility A,2024/4/19,Raw Materials,27.35,Cadmium,EcoWaste Solutions,11.86,India
2536,Laptop,Xiaomi,Xiaomi Model 412,Computers,2020,Broken,3,2.47,Both,Berlin,Facility C,2024/4/27,E-Waste Disposal,25.65,Lead,Green Electronics,4.32,India
2830,Air Conditioner,Samsung,Samsung Model 881,Appliance,2022,Broken,5,29.64,Manual,Shanghai,Facility A,2024/6/10,E-Waste Disposal,125.15,Lead,E-Waste Inc.,14.49,Brazil
7241,Smartphone,LG,LG Model 712,Mobile,2013,Working,5,0.68,Automated,London,Facility C,2024/1/5,Raw Materials,177,Mercury,EcoWaste Solutions,12.59,India
7644,Refrigerator,Sony,Sony Model 474,Appliance,2015,Partially Working,2,80.35,Automated,London,Facility A,2023/11/27,E-Waste Disposal,78.02,Mercury,E-Waste Inc.,19.27,China
3944,Headphone,Panasonic,Panasonic Model 102,Electronics,2012,Broken,3,0.24,Automated,New York,Facility C,2023/11/22,Raw Materials,126.9,None,EcoWaste Solutions,9.46,USA
3663,Microwave,LG,LG Model 686,Appliance,2011,Broken,2,11.59,Both,Dhaka,Facility C,2023/11/22,Parts for Electronics,102.94,Mercury,E-Waste Inc.,14.88,Germany
5355,Refrigerator,HP,HP Model 651,Appliance,2014,Working,1,80.01,Manual,Berlin,Facility A,2024/8/25,Raw Materials,133.07,Cadmium,EcoWaste Solutions,14.48,India
4106,Laptop,Xiaomi,Xiaomi Model 425,Computers,2016,Broken,4,2.3,Manual,Shanghai,Facility D,2023/11/24,Parts for Electronics,83.6,Lead,E-Waste Inc.,6.67,Brazil
9906,Air Conditioner,Dell,Dell Model 796,Appliance,2022,Working,3,29.89,Manual,New York,Facility B,2024/8/23,E-Waste Disposal,193.92,None,E-Waste Inc.,11.25,China
2392,Microwave,Xiaomi,Xiaomi Model 320,Appliance,2012,Broken,1,11.88,Manual,New York,Facility C,2024/5/8,Raw Materials,73.73,Cadmium,EcoWaste Solutions,5.44,Brazil
6554,Smartphone,Xiaomi,Xiaomi Model 757,Mobile,2017,Broken,4,0.1,Both,Berlin,Facility B,2024/7/22,Raw Materials,161.22,None,Green Electronics,2.01,India
2205,TV,Apple,Apple Model 441,Electronics,2015,Partially Working,2,15.01,Automated,Mumbai,Facility D,2024/4/1,Parts for Electronics,72.39,Cadmium,E-Waste Inc.,11.71,China
99,Laptop,LG,LG Model 835,Computers,2012,Broken,4,1.93,Manual,Berlin,Facility D,2024/7/21,Parts for Electronics,83.8,None,E-Waste Inc.,6.63,India
2004,Headphone,Xiaomi,Xiaomi Model 951,Electronics,2022,Broken,5,0.91,Automated,London,Facility D,2024/3/22,Parts for Electronics,17.77,Cadmium,EcoWaste Solutions,12.35,USA
4183,Smartphone,HP,HP Model 428,Mobile,2022,Partially Working,4,0.1,Automated,New York,Facility B,2024/8/25,Raw Materials,191.41,Mercury,EcoWaste Solutions,2.35,Germany
7662,Refrigerator,Sony,Sony Model 513,Appliance,2015,Working,5,80.16,Automated,Mumbai,Facility D,2024/3/5,Parts for Electronics,74.54,Mercury,E-Waste Inc.,15.36,India
8098,Washing Machine,LG,LG Model 663,Appliance,2018,Partially Working,1,69.68,Automated,London,Facility A,2024/9/29,Raw Materials,49.67,Lead,E-Waste Inc.,4.77,USA
856,Laptop,Apple,Apple Model 879,Computers,2022,Partially Working,5,1.7,Manual,London,Facility A,2024/10/10,Parts for Electronics,130.07,Mercury,E-Waste Inc.,12.2,USA
7084,Air Conditioner,Panasonic,Panasonic Model 811,Appliance,2012,Broken,1,29.76,Manual,London,Facility C,2024/6/13,Raw Materials,71.31,Lead,EcoWaste Solutions,8.5,Germany
7102,Smartphone,Panasonic,Panasonic Model 409,Mobile,2014,Working,3,0.49,Automated,Dhaka,Facility A,2024/4/29,Parts for Electronics,67.78,Mercury,EcoWaste Solutions,16.6,Germany
312,Refrigerator,Dell,Dell Model 407,Appliance,2020,Working,5,80.27,Both,New York,Facility D,2024/4/16,Raw Materials,81.27,Mercury,E-Waste Inc.,1.75,China
2856,Headphone,Samsung,Samsung Model 381,Electronics,2021,Broken,3,0.7,Both,Shanghai,Facility B,2024/10/21,Parts for Electronics,127.87,None,EcoWaste Solutions,17.11,China
6502,Microwave,Xiaomi,Xiaomi Model 133,Appliance,2014,Partially Working,2,12.34,Automated,New York,Facility D,2024/4/14,Raw Materials,89.33,Mercury,Green Electronics,17.88,Brazil
947,Headphone,Samsung,Samsung Model 745,Electronics,2023,Broken,4,0.78,Manual,Shanghai,Facility C,2024/3/15,Parts for Electronics,18.11,None,Green Electronics,4.46,Brazil
7357,TV,HP,HP Model 974,Electronics,2013,Broken,5,15.12,Both,Dhaka,Facility C,2023/11/22,Raw Materials,141.79,Cadmium,EcoWaste Solutions,7.07,Brazil
348,Air Conditioner,Xiaomi,Xiaomi Model 841,Appliance,2017,Broken,5,30.03,Both,Berlin,Facility B,2024/4/1,Parts for Electronics,90.6,Cadmium,EcoWaste Solutions,6.33,India
8333,Washing Machine,Sony,Sony Model 214,Appliance,2014,Broken,3,70.16,Manual,Dhaka,Facility A,2024/6/24,Parts for Electronics,78.05,Cadmium,Green Electronics,1.85,USA
2097,TV,Samsung,Samsung Model 391,Electronics,2019,Working,2,14.63,Automated,New York,Facility B,2024/6/26,E-Waste Disposal,154.81,Cadmium,EcoWaste Solutions,3.69,India
3926,TV,HP,HP Model 629,Electronics,2010,Working,3,14.54,Automated,Berlin,Facility A,2024/4/5,E-Waste Disposal,135.22,Lead,Green Electronics,18.91,Germany
5918,Headphone,Xiaomi,Xiaomi Model 116,Electronics,2017,Partially Working,1,0.94,Manual,Shanghai,Facility A,2024/2/4,Parts for Electronics,16.5,Lead,E-Waste Inc.,6.15,Brazil
5022,Air Conditioner,Panasonic,Panasonic Model 561,Appliance,2014,Partially Working,3,29.84,Automated,New York,Facility C,2024/5/24,Raw Materials,149.37,None,E-Waste Inc.,6.64,China
5038,TV,Panasonic,Panasonic Model 944,Electronics,2020,Partially Working,3,15.29,Both,Berlin,Facility D,2024/5/18,Parts for Electronics,156,None,E-Waste Inc.,7.35,Germany
2002,Refrigerator,Samsung,Samsung Model 613,Appliance,2022,Partially Working,3,79.81,Manual,Berlin,Facility D,2024/1/11,Raw Materials,56.09,Mercury,E-Waste Inc.,11.66,Germany
4967,Smartphone,Sony,Sony Model 427,Mobile,2014,Working,3,0.61,Manual,Mumbai,Facility A,2024/6/23,E-Waste Disposal,138.04,None,E-Waste Inc.,17.98,China
4681,Washing Machine,Apple,Apple Model 206,Appliance,2022,Partially Working,2,70.02,Automated,London,Facility B,2024/5/19,Parts for Electronics,17.71,Mercury,E-Waste Inc.,6.22,China
5442,Air Conditioner,LG,LG Model 363,Appliance,2011,Partially Working,2,29.9,Automated,New York,Facility C,2023/12/19,Parts for Electronics,149.83,None,Green Electronics,8.89,USA
9650,Laptop,Dell,Dell Model 181,Computers,2023,Working,2,1.65,Manual,London,Facility A,2024/6/27,Parts for Electronics,48.74,Mercury,Green Electronics,13.14,China
2395,Air Conditioner,Dell,Dell Model 799,Appliance,2016,Partially Working,5,29.67,Both,London,Facility D,2024/5/22,Raw Materials,183.43,None,EcoWaste Solutions,8.42,China
4773,Smartphone,Samsung,Samsung Model 119,Mobile,2019,Broken,1,0.1,Automated,New York,Facility B,2024/9/11,Raw Materials,125.39,None,Green Electronics,9.06,China
7237,TV,HP,HP Model 479,Electronics,2022,Working,4,15.43,Both,London,Facility D,2024/4/5,Parts for Electronics,97.77,None,EcoWaste Solutions,14.59,India
2480,Microwave,Panasonic,Panasonic Model 823,Appliance,2010,Partially Working,4,11.64,Automated,London,Facility C,2024/9/15,E-Waste Disposal,198.17,Cadmium,Green Electronics,13.58,Germany
6096,Smartphone,Samsung,Samsung Model 768,Mobile,2019,Broken,3,0.12,Manual,Shanghai,Facility C,2024/9/19,E-Waste Disposal,132.85,Cadmium,E-Waste Inc.,14.78,India
2394,Microwave,LG,LG Model 886,Appliance,2021,Working,5,11.51,Automated,Dhaka,Facility D,2023/12/12,Raw Materials,106.6,Mercury,E-Waste Inc.,9.35,USA
5744,TV,HP,HP Model 339,Electronics,2014,Broken,3,14.79,Manual,Mumbai,Facility B,2024/8/16,E-Waste Disposal,98.2,Mercury,E-Waste Inc.,5.87,Germany
9777,TV,Xiaomi,Xiaomi Model 713,Electronics,2012,Broken,2,14.66,Manual,Dhaka,Facility A,2024/11/11,Parts for Electronics,158.37,Cadmium,E-Waste Inc.,5.56,Brazil
9606,Headphone,HP,HP Model 794,Electronics,2011,Broken,3,0.1,Both,New York,Facility A,2024/8/26,Raw Materials,29.09,Mercury,E-Waste Inc.,5.25,India
9047,Refrigerator,Panasonic,Panasonic Model 981,Appliance,2020,Partially Working,2,80.48,Both,Mumbai,Facility B,2024/6/9,E-Waste Disposal,56.6,None,Green Electronics,13.19,Germany
5592,Microwave,Apple,Apple Model 121,Appliance,2012,Partially Working,4,11.64,Automated,Berlin,Facility C,2024/7/1,Parts for Electronics,109.22,Cadmium,Green Electronics,9.23,USA
1111,Smartphone,Panasonic,Panasonic Model 766,Mobile,2013,Partially Working,5,0.67,Both,London,Facility A,2024/6/14,Raw Materials,70.14,Cadmium,E-Waste Inc.,5.64,India
900,Air Conditioner,Apple,Apple Model 923,Appliance,2022,Working,3,30.1,Automated,Berlin,Facility A,2024/8/14,E-Waste Disposal,160.55,None,Green Electronics,9,Brazil
3021,Microwave,Apple,Apple Model 995,Appliance,2010,Partially Working,5,11.81,Both,London,Facility B,2024/9/23,Parts for Electronics,72.3,Cadmium,E-Waste Inc.,4.41,Germany
6245,Headphone,Dell,Dell Model 952,Electronics,2021,Working,5,0.65,Both,New York,Facility D,2024/2/20,Parts for Electronics,6.68,Mercury,EcoWaste Solutions,16.83,Germany
9480,Headphone,HP,HP Model 840,Electronics,2019,Working,5,0.1,Both,London,Facility D,2024/4/5,E-Waste Disposal,78.89,Mercury,E-Waste Inc.,7.87,USA
1118,Smartphone,Xiaomi,Xiaomi Model 462,Mobile,2021,Working,5,0.1,Manual,Mumbai,Facility C,2024/4/23,Raw Materials,175.65,Cadmium,EcoWaste Solutions,14.83,China
9740,Air Conditioner,Dell,Dell Model 929,Appliance,2022,Broken,1,30,Manual,Shanghai,Facility B,2024/11/11,E-Waste Disposal,75,None,Green Electronics,18.41,India
5164,Air Conditioner,Apple,Apple Model 652,Appliance,2018,Partially Working,5,30.46,Automated,New York,Facility C,2024/5/23,E-Waste Disposal,159.56,Mercury,EcoWaste Solutions,14.97,Brazil
1071,Air Conditioner,HP,HP Model 840,Appliance,2021,Partially Working,3,30.5,Automated,London,Facility A,2024/4/7,E-Waste Disposal,89.02,Mercury,E-Waste Inc.,2.55,Brazil
4190,Air Conditioner,Samsung,Samsung Model 264,Appliance,2011,Working,3,30.27,Automated,London,Facility B,2024/11/15,E-Waste Disposal,188.52,Lead,EcoWaste Solutions,11.62,China
7897,Refrigerator,Sony,Sony Model 265,Appliance,2010,Broken,2,80.41,Both,Mumbai,Facility B,2024/8/7,Raw Materials,56.15,None,Green Electronics,11.18,India
8980,Headphone,Apple,Apple Model 223,Electronics,2017,Partially Working,5,0.91,Both,Berlin,Facility B,2024/1/31,Parts for Electronics,189.58,Mercury,Green Electronics,11.26,India
3977,Smartphone,Apple,Apple Model 375,Mobile,2012,Broken,2,0.18,Both,New York,Facility A,2024/7/9,Parts for Electronics,60.49,None,EcoWaste Solutions,12.94,USA
7725,TV,Panasonic,Panasonic Model 101,Electronics,2013,Working,2,15.45,Both,New York,Facility C,2024/10/11,Raw Materials,34.51,Lead,EcoWaste Solutions,12.98,India
3449,Laptop,Dell,Dell Model 348,Computers,2017,Working,4,2.46,Automated,Mumbai,Facility B,2024/7/25,E-Waste Disposal,18.4,Mercury,E-Waste Inc.,16.05,Germany
3996,Air Conditioner,Samsung,Samsung Model 117,Appliance,2018,Partially Working,5,29.91,Automated,New York,Facility A,2024/2/28,Raw Materials,192.5,None,Green Electronics,11.82,China
193,Refrigerator,Samsung,Samsung Model 696,Appliance,2023,Broken,4,79.74,Automated,Berlin,Facility C,2024/5/19,Raw Materials,30.04,Cadmium,Green Electronics,9.48,USA
139,Headphone,Samsung,Samsung Model 702,Electronics,2020,Partially Working,1,0.72,Manual,Mumbai,Facility B,2024/4/27,E-Waste Disposal,45.03,Cadmium,EcoWaste Solutions,18.91,USA
2558,Microwave,LG,LG Model 928,Appliance,2023,Working,2,12.23,Manual,Mumbai,Facility C,2024/8/12,Parts for Electronics,20.52,None,E-Waste Inc.,6.12,China
2203,Microwave,Xiaomi,Xiaomi Model 981,Appliance,2012,Working,5,12.29,Manual,New York,Facility A,2024/2/16,Raw Materials,41.65,None,EcoWaste Solutions,7.11,China
7722,Laptop,Panasonic,Panasonic Model 350,Computers,2011,Broken,2,2.38,Manual,Dhaka,Facility B,2023/12/16,Raw Materials,133.97,None,E-Waste Inc.,18.51,Germany
6042,Smartphone,Xiaomi,Xiaomi Model 901,Mobile,2015,Partially Working,2,0.21,Manual,Berlin,Facility C,2024/7/28,Parts for Electronics,173.42,Cadmium,EcoWaste Solutions,19.23,China
9807,Washing Machine,Panasonic,Panasonic Model 620,Appliance,2022,Working,2,69.69,Manual,Shanghai,Facility A,2024/3/1,Raw Materials,109.77,None,Green Electronics,10.07,Germany
6285,Air Conditioner,LG,LG Model 730,Appliance,2015,Broken,4,29.64,Both,Shanghai,Facility A,2024/7/9,E-Waste Disposal,170.11,Mercury,E-Waste Inc.,17.16,USA
2228,Headphone,LG,LG Model 963,Electronics,2022,Partially Working,5,0.1,Automated,New York,Facility A,2023/12/2,Raw Materials,175.95,Cadmium,E-Waste Inc.,18.52,Germany
9297,Air Conditioner,Xiaomi,Xiaomi Model 868,Appliance,2019,Partially Working,1,29.9,Manual,London,Facility D,2024/1/10,Parts for Electronics,114.98,None,E-Waste Inc.,13.97,India
7110,Smartphone,Sony,Sony Model 694,Mobile,2022,Working,4,0.1,Automated,Dhaka,Facility A,2023/11/25,E-Waste Disposal,133.39,Lead,E-Waste Inc.,14.46,Brazil
7802,Laptop,Xiaomi,Xiaomi Model 407,Computers,2019,Partially Working,5,2.31,Automated,New York,Facility B,2024/3/29,Parts for Electronics,107.67,Cadmium,EcoWaste Solutions,10.06,India
6964,Refrigerator,Apple,Apple Model 749,Appliance,2019,Broken,2,79.59,Manual,Shanghai,Facility D,2023/12/14,Parts for Electronics,56.44,Mercury,E-Waste Inc.,7.37,Germany
597,Smartphone,LG,LG Model 291,Mobile,2012,Broken,2,0.1,Automated,Shanghai,Facility D,2024/1/1,Parts for Electronics,144.12,Lead,EcoWaste Solutions,17.09,India
6993,Refrigerator,Xiaomi,Xiaomi Model 534,Appliance,2013,Broken,3,80.26,Both,Mumbai,Facility B,2024/9/20,E-Waste Disposal,40.07,None,EcoWaste Solutions,11.61,China
7550,TV,Panasonic,Panasonic Model 815,Electronics,2011,Partially Working,3,15.44,Automated,Mumbai,Facility C,2024/10/19,E-Waste Disposal,18.88,Lead,Green Electronics,14.06,China
4373,TV,Samsung,Samsung Model 691,Electronics,2010,Broken,2,15.44,Manual,New York,Facility D,2024/1/17,E-Waste Disposal,124.56,Lead,Green Electronics,12.44,Germany
8528,Washing Machine,Panasonic,Panasonic Model 418,Appliance,2021,Broken,2,70.12,Both,Shanghai,Facility B,2024/10/28,Parts for Electronics,186.17,None,Green Electronics,9.91,Germany
7095,Air Conditioner,Apple,Apple Model 589,Appliance,2017,Working,3,29.52,Manual,Mumbai,Facility D,2023/12/25,E-Waste Disposal,95.73,None,E-Waste Inc.,12.15,Germany
8669,Air Conditioner,Apple,Apple Model 581,Appliance,2014,Broken,1,29.72,Automated,Shanghai,Facility A,2024/6/18,Parts for Electronics,44,Lead,Green Electronics,2.1,Germany
7449,Washing Machine,LG,LG Model 677,Appliance,2019,Broken,4,69.91,Automated,Shanghai,Facility B,2024/10/25,E-Waste Disposal,49.58,Mercury,EcoWaste Solutions,17.78,USA
8303,TV,LG,LG Model 162,Electronics,2022,Working,5,15.45,Automated,New York,Facility C,2024/6/25,Parts for Electronics,154.01,Lead,Green Electronics,12.71,Brazil
6183,Refrigerator,Apple,Apple Model 512,Appliance,2011,Partially Working,4,79.82,Automated,Dhaka,Facility B,2024/1/21,Parts for Electronics,82.54,None,Green Electronics,18.37,Brazil
7322,Smartphone,HP,HP Model 877,Mobile,2022,Broken,2,0.1,Manual,Mumbai,Facility B,2024/9/8,Parts for Electronics,53.26,None,Green Electronics,12.75,Germany
7081,TV,Sony,Sony Model 264,Electronics,2013,Broken,4,14.9,Manual,Mumbai,Facility B,2024/11/16,Raw Materials,196.69,Mercury,EcoWaste Solutions,5.15,Germany
5080,Air Conditioner,Apple,Apple Model 710,Appliance,2020,Partially Working,3,29.55,Manual,Shanghai,Facility C,2024/6/8,Parts for Electronics,5.16,None,EcoWaste Solutions,1.12,China
8097,Smartphone,Xiaomi,Xiaomi Model 568,Mobile,2023,Partially Working,1,0.1,Manual,Shanghai,Facility D,2024/9/23,Parts for Electronics,20.02,Lead,Green Electronics,9.09,Brazil
4278,Headphone,Samsung,Samsung Model 301,Electronics,2022,Partially Working,2,0.46,Automated,Berlin,Facility B,2024/6/25,Parts for Electronics,97.8,Mercury,Green Electronics,7.31,Brazil
9531,Refrigerator,Panasonic,Panasonic Model 141,Appliance,2012,Broken,5,80.15,Both,Shanghai,Facility B,2024/8/10,Parts for Electronics,74.5,None,Green Electronics,7.58,Germany
5352,Air Conditioner,Apple,Apple Model 912,Appliance,2013,Partially Working,3,30.34,Automated,Mumbai,Facility A,2024/9/21,Parts for Electronics,52.58,Cadmium,Green Electronics,1.09,USA
3691,Washing Machine,Dell,Dell Model 876,Appliance,2011,Working,1,69.75,Automated,Berlin,Facility B,2024/2/12,Parts for Electronics,185.96,Mercury,E-Waste Inc.,7.09,India
9375,Microwave,Sony,Sony Model 853,Appliance,2011,Working,4,12,Manual,Shanghai,Facility C,2024/5/19,Parts for Electronics,16.67,None,Green Electronics,19.33,Germany
2543,TV,Samsung,Samsung Model 218,Electronics,2016,Partially Working,5,15.09,Both,Mumbai,Facility A,2024/3/2,E-Waste Disposal,26.98,Lead,E-Waste Inc.,3.31,China
3922,Washing Machine,Sony,Sony Model 946,Appliance,2016,Broken,5,70.06,Automated,London,Facility B,2024/1/24,Parts for Electronics,69.01,Mercury,Green Electronics,10.25,India
6762,TV,Sony,Sony Model 106,Electronics,2023,Partially Working,1,14.57,Both,New York,Facility A,2024/8/3,Parts for Electronics,66.34,Cadmium,E-Waste Inc.,17.13,India
9489,Washing Machine,Samsung,Samsung Model 445,Appliance,2012,Broken,2,70,Manual,Berlin,Facility C,2024/4/4,Raw Materials,67.96,Mercury,Green Electronics,18.1,China
4289,Air Conditioner,LG,LG Model 651,Appliance,2018,Working,2,30.26,Manual,Shanghai,Facility D,2024/1/20,E-Waste Disposal,171.64,None,E-Waste Inc.,7.49,India
9972,Laptop,Sony,Sony Model 365,Computers,2011,Broken,1,2.36,Automated,Berlin,Facility D,2024/5/11,E-Waste Disposal,131.94,Cadmium,E-Waste Inc.,2.25,Germany
6137,Smartphone,Panasonic,Panasonic Model 986,Mobile,2019,Working,3,0.1,Manual,Mumbai,Facility A,2024/3/10,E-Waste Disposal,190.85,Mercury,EcoWaste Solutions,2.42,USA
6067,Smartphone,HP,HP Model 372,Mobile,2011,Working,3,0.1,Both,New York,Facility D,2024/2/17,Parts for Electronics,22.37,Cadmium,E-Waste Inc.,15.94,Germany
63,Refrigerator,HP,HP Model 632,Appliance,2021,Partially Working,1,80.19,Manual,New York,Facility C,2024/1/25,E-Waste Disposal,26.74,None,Green Electronics,16.07,India
6132,Headphone,LG,LG Model 131,Electronics,2016,Partially Working,1,0.11,Both,London,Facility C,2024/5/3,Raw Materials,107,None,Green Electronics,3.22,China
8218,Microwave,Samsung,Samsung Model 805,Appliance,2017,Partially Working,5,12,Automated,Berlin,Facility D,2024/9/2,Raw Materials,150.52,Lead,E-Waste Inc.,5.94,Germany
9807,Refrigerator,Xiaomi,Xiaomi Model 738,Appliance,2011,Broken,1,79.77,Automated,Mumbai,Facility B,2024/2/10,Raw Materials,16.08,None,Green Electronics,17.32,Germany
1118,TV,Dell,Dell Model 872,Electronics,2011,Broken,1,14.89,Automated,Mumbai,Facility C,2024/1/11,E-Waste Disposal,135.99,None,E-Waste Inc.,10.54,USA
2517,Refrigerator,Dell,Dell Model 963,Appliance,2011,Partially Working,5,79.84,Both,New York,Facility D,2024/10/1,Parts for Electronics,178.27,None,EcoWaste Solutions,11.59,Brazil
3643,TV,LG,LG Model 841,Electronics,2010,Working,5,15.3,Automated,Dhaka,Facility B,2024/8/5,E-Waste Disposal,69.81,None,EcoWaste Solutions,14.07,USA
1840,Microwave,Dell,Dell Model 232,Appliance,2019,Partially Working,1,12.38,Both,New York,Facility B,2024/1/21,Raw Materials,198.74,None,E-Waste Inc.,5.31,Brazil
6389,Refrigerator,Apple,Apple Model 875,Appliance,2012,Broken,4,79.51,Both,Berlin,Facility A,2024/11/1,Raw Materials,38.72,None,EcoWaste Solutions,18.27,Germany
7271,Laptop,LG,LG Model 308,Computers,2020,Working,4,2.25,Both,London,Facility D,2024/9/5,Raw Materials,134.96,Mercury,Green Electronics,3.94,Germany
5081,Washing Machine,Xiaomi,Xiaomi Model 636,Appliance,2021,Broken,5,70.26,Manual,Berlin,Facility B,2024/3/25,Parts for Electronics,113.23,Mercury,Green Electronics,8.68,India
8701,Smartphone,Dell,Dell Model 895,Mobile,2011,Broken,2,0.48,Both,New York,Facility A,2024/8/14,E-Waste Disposal,49.6,Cadmium,Green Electronics,11.1,Brazil
9948,Headphone,LG,LG Model 636,Electronics,2010,Working,2,0.24,Both,New York,Facility D,2024/5/27,E-Waste Disposal,99.26,None,E-Waste Inc.,8.24,USA
6522,Headphone,Xiaomi,Xiaomi Model 716,Electronics,2016,Working,3,0.97,Manual,Dhaka,Facility C,2024/7/11,Parts for Electronics,199.08,Cadmium,EcoWaste Solutions,14.83,India
622,Refrigerator,LG,LG Model 342,Appliance,2016,Working,1,79.93,Automated,Berlin,Facility A,2024/7/1,Parts for Electronics,169.66,None,Green Electronics,7.01,Brazil
1827,Microwave,LG,LG Model 598,Appliance,2019,Partially Working,4,11.79,Automated,New York,Facility B,2024/6/15,Raw Materials,53.48,None,Green Electronics,13.87,USA
3163,TV,LG,LG Model 828,Electronics,2018,Broken,4,15.02,Both,Mumbai,Facility A,2023/12/22,E-Waste Disposal,77.51,Cadmium,EcoWaste Solutions,14.26,Germany
8819,Smartphone,LG,LG Model 480,Mobile,2017,Working,2,0.38,Both,Shanghai,Facility C,2024/4/2,E-Waste Disposal,49.51,Mercury,Green Electronics,12.52,China
7160,Smartphone,Panasonic,Panasonic Model 840,Mobile,2010,Working,5,0.1,Both,Mumbai,Facility C,2024/2/18,Raw Materials,109.86,None,E-Waste Inc.,16.31,India
4625,Headphone,LG,LG Model 433,Electronics,2015,Working,5,0.74,Automated,London,Facility C,2024/10/28,E-Waste Disposal,109.27,Lead,EcoWaste Solutions,11.73,India
7033,Laptop,Panasonic,Panasonic Model 868,Computers,2021,Partially Working,4,2.08,Manual,London,Facility D,2024/9/22,Parts for Electronics,127.33,Cadmium,E-Waste Inc.,6.07,China
1858,Washing Machine,Sony,Sony Model 819,Appliance,2017,Partially Working,1,69.56,Manual,London,Facility B,2024/6/22,Raw Materials,148.78,Mercury,Green Electronics,15.34,Germany
3541,Washing Machine,Dell,Dell Model 472,Appliance,2023,Working,5,70.06,Manual,New York,Facility D,2024/1/9,Raw Materials,169.63,Lead,E-Waste Inc.,19.26,India
5042,Laptop,Sony,Sony Model 586,Computers,2011,Partially Working,4,1.86,Automated,Berlin,Facility B,2024/8/13,Parts for Electronics,102.55,Cadmium,EcoWaste Solutions,13.08,India
7830,Microwave,Panasonic,Panasonic Model 743,Appliance,2014,Broken,3,11.56,Both,New York,Facility B,2024/7/12,Parts for Electronics,65.23,Cadmium,E-Waste Inc.,10.01,India
9549,Air Conditioner,HP,HP Model 851,Appliance,2020,Working,2,30.12,Automated,Shanghai,Facility D,2024/3/23,E-Waste Disposal,106.32,Mercury,E-Waste Inc.,3.43,Germany
5127,Laptop,Dell,Dell Model 514,Computers,2021,Broken,4,1.89,Both,Berlin,Facility C,2024/6/7,Parts for Electronics,154.55,Cadmium,E-Waste Inc.,7.26,China
6781,Laptop,Apple,Apple Model 347,Computers,2018,Partially Working,5,1.76,Both,Berlin,Facility A,2024/1/24,Parts for Electronics,57.74,Lead,Green Electronics,9.2,Brazil
1610,Refrigerator,Panasonic,Panasonic Model 208,Appliance,2015,Broken,5,80.12,Manual,New York,Facility B,2024/7/26,E-Waste Disposal,141,Lead,EcoWaste Solutions,17.59,Germany
8659,Headphone,Xiaomi,Xiaomi Model 335,Electronics,2022,Broken,2,0.74,Automated,Mumbai,Facility A,2024/5/23,Raw Materials,14.02,Lead,E-Waste Inc.,1.14,Germany
795,Laptop,Xiaomi,Xiaomi Model 184,Computers,2023,Working,5,1.98,Automated,Berlin,Facility C,2023/11/29,Raw Materials,134.66,Lead,EcoWaste Solutions,1.69,Germany
2003,Laptop,HP,HP Model 178,Computers,2015,Partially Working,5,2.32,Both,Dhaka,Facility C,2024/9/17,Parts for Electronics,144.14,Lead,Green Electronics,7.33,Brazil
9465,Microwave,Xiaomi,Xiaomi Model 923,Appliance,2022,Broken,1,11.56,Manual,New York,Facility B,2023/12/11,Parts for Electronics,112.73,Mercury,EcoWaste Solutions,1.44,China
1018,Headphone,Samsung,Samsung Model 881,Electronics,2019,Working,3,0.37,Automated,Mumbai,Facility A,2024/6/14,Parts for Electronics,51.12,Lead,Green Electronics,8.41,Brazil
